id,Rdiff,SRS,R_G,R,RBI,OBP,OPSP,RA,ERA,SV,HA,ER,ERAP,WHIP
475,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
476,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
490,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
503,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
513,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
527,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
541,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
699,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
714,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
730,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
745,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
760,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
854,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
869,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
979,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
991,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
1006,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
1022,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
1048,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
1063,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
1077,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
1230,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
1242,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
1257,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
1270,0.200,0.400,5.086,824.000,4.510,0.338,90.000,4.600,112.000,47.000,1453.000,721.000,1.381,2.390
