id,Rdiff,SRS,R_G,R,RBI,OBP,OPSP,RA,ERA,SV,HA,ER,ERAP,WHIP
509,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
620,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
633,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
649,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
658,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
673,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
688,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
698,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
863,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
878,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
891,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
906,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
922,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
923,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
938,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1044,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1059,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1074,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1102,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1117,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1132,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1279,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1293,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1308,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1323,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1438,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1453,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1468,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1479,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1494,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1509,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1630,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1644,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1660,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1681,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1696,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1708,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1721,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1736,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1752,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1819,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1834,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1849,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1875,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1890,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
1902,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
2060,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
2074,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
2089,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
2150,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
2165,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
2180,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
2209,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
2224,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
2239,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
2260,0.400,0.300,4.284,694.000,3.970,0.317,100.000,4.000,105.000,53.000,1324.000,638.000,1.264,2.690
